,ID,Fuel Type Code,Access Code,Geocode Status,Latitude,Longitude,City,State,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Connector Types,EV Pricing,CNG Dispenser Num,LPG Nozzle Types
20638,117267,ELEC,private,200-9,42.357009,-71.057609,Boston,MA,,6.0,,J1772,,,
20639,117271,ELEC,public,200-9,40.879619,-74.711475,Flanders,NJ,,3.0,,J1772,,,
20640,117273,ELEC,private,200-9,40.75931,-73.435905,Melville,NY,,14.0,,J1772,,,
20649,117291,ELEC,public,GPS,42.51922,-71.700007,Leominster,MA,,1.0,,J1772,,,
20657,117313,ELEC,private,200-9,42.651781,-71.099458,North Andover,MA,,11.0,,J1772,,,
20658,117314,ELEC,private,200-8,40.766992,-73.509655,Hicksville,NY,2.0,14.0,,J1772,,,
20663,117325,ELEC,public,200-9,42.395119,-73.696947,Kinderhook,NY,,2.0,,J1772,Free,,
20714,117521,ELEC,public,GPS,41.389073,-72.351822,Lyme,CT,,2.0,,J1772,,,
20715,117526,ELEC,public,GPS,42.133992,-71.969268,Charlton,MA,,2.0,,J1772,,,
20727,117570,ELEC,public,GPS,42.35335,-71.0677,Boston,MA,,2.0,,J1772,,,
20730,117582,ELEC,public,GPS,40.445111,-79.995327,Pittsburgh,PA,,6.0,,J1772 TESLA,Free,,
20731,117583,ELEC,public,GPS,40.447848,-80.01288,Pittsburgh,PA,,6.0,,J1772 TESLA,Free,,
20736,117600,ELEC,private,GPS,40.7710075,-73.8430625,Flushing,NY,,2.0,,J1772,Free,,
20739,117603,ELEC,public,200-9,44.680358,-72.36351,Craftsbury Common,VT,1.0,2.0,,J1772 NEMA1450,Free,,
20740,117604,ELEC,public,GPS,42.870128,-76.977625,Geneva,NY,,4.0,,J1772,Free,,
20795,117723,ELEC,public,GPS,40.499154,-78.390938,Altoona,PA,,,8.0,TESLA,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,
20797,117725,ELEC,public,GPS,39.821606,-75.240969,Paulsboro,NJ,,,8.0,TESLA,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,
20798,117726,ELEC,public,GPS,41.617554,-70.488139,Mashpee,MA,,,10.0,TESLA,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,
20799,117729,ELEC,public,GPS,42.153337,-78.747913,Salamanca,NY,,,8.0,TESLA,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,
20801,117732,ELEC,public,GPS,39.961844,-75.172246,Philadelphia,PA,,,10.0,TESLA,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,
20806,117739,ELEC,public,GPS,42.480929,-76.477605,Ithaca,NY,,2.0,1.0,J1772 J1772COMBO,Free,,
20807,117740,ELEC,public,GPS,42.091802,-76.804195,Elmira,NY,,,1.0,J1772COMBO,Free,,
20808,117741,ELEC,public,GPS,42.717867,-73.806317,Albany,NY,,,1.0,J1772COMBO,Free,,
20809,117743,ELEC,public,GPS,42.428584,-73.802626,Hannacroix,NY,,,2.0,CHADEMO J1772COMBO,Free,,
20810,117744,ELEC,private,GPS,42.717867,-73.806317,Albany,NY,,2.0,,J1772,Free,,
20864,117870,ELEC,public,200-9,42.876202,-72.561096,Brattleboro,VT,,1.0,,J1772,Free,,
20865,117871,CNG,public,200-9,39.729204,-74.863836,Waterford Works,NJ,,,,,,4.0,
20876,118036,ELEC,public,GPS,42.339907,-71.108059,Boston,MA,,2.0,,J1772,,,
20883,118056,ELEC,public,200-9,42.392725,-71.256095,Waltham,MA,,8.0,,J1772,,,
20895,118503,ELEC,public,GPS,42.407791,-71.01277,Revere,MA,,2.0,,J1772,,,
20919,118705,ELEC,public,GPS,42.68476,-73.868266,Albany,NY,,2.0,,J1772,,,
20938,118916,ELEC,public,GPS,42.117311,-72.625559,West Springfield,MA,,2.0,,J1772,,,
20945,118946,ELEC,public,GPS,41.930457,-74.908814,Roscoe,NY,,,8.0,TESLA,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,
20949,118950,ELEC,public,GPS,40.749014,-74.135578,Kearny,NJ,,,8.0,TESLA,$0.28 per kWh; $0.26 per minute above 60 kW and $0.13 per minute at or below 60 kW,,
20959,118960,ELEC,public,200-9,42.633064,-71.069615,North Andover,MA,,2.0,,J1772,,,
20962,118964,ELEC,public,200-8,42.767009,-73.689847,Cohoes,NY,,1.0,,J1772,Free,,
20963,118965,ELEC,public,200-9,40.388303,-75.993864,Leesport,PA,,1.0,,J1772,,,
20964,118966,ELEC,public,200-9,43.424358,-72.716903,Ludlow,VT,,9.0,,J1772,Free,,
20967,118975,E85,public,200-9,40.714771,-73.859421,Rego Park,NY,,,,,,,
20973,118995,ELEC,public,GPS,42.680984,-73.846759,Albany,NY,,2.0,,J1772,,,
20974,118998,ELEC,public,GPS,41.395991,-73.605373,Brewster,NY,,2.0,,J1772,,,
20980,119014,ELEC,public,GPS,41.257688,-75.807628,Wilkes-Barre,PA,,2.0,,J1772,,,
